Ticker,Name
OEDV,"Osage Exploration and Development, Inc."
AAPL,Apple Inc.
BAC,Bank of America Corporation
AMZN,"Amazon.com, Inc."
T,AT&T Inc.
GOOG,Alphabet Inc.
MO,"Altria Group, Inc."
DAL,"Delta Air Lines, Inc."
AA,Alcoa Corporation
AXP,American Express Company
DD,E. I. du Pont de Nemours and Company
BABA,Alibaba Group Holding Limited
ABT,Abbott Laboratories
UA,"Under Armour, Inc."
AMAT,"Applied Materials, Inc."
AMGN,Amgen Inc.
AAL,American Airlines Group Inc.
AIG,"American International Group, Inc."
ALL,The Allstate Corporation
ADBE,Adobe Systems Incorporated
GOOGL,Alphabet Inc.
ACN,Accenture plc
ABBV,AbbVie Inc.
MT,ArcelorMittal
LLY,Eli Lilly and Company
AGN,Allergan plc
